,title,release,critic_score,human_score
0,Talk to Me,"Jul 28, 2023",95,73
1,Haunted Mansion,"Jul 28, 2023",43,
2,Sympathy for the Devil,"Jul 28, 2023",69,
3,The Beasts,"Jul 28, 2023",98,
4,KOKOMO CITY,"Jul 28, 2023",96,
5,Bobi Wine: The People's President,"Jul 28, 2023",100,
6,The Unknown Country,"Jul 28, 2023",84,
7,The Mistress,"Jul 28, 2023",,
8,Susie Searches,"Jul 28, 2023",60,
9,Shrapnel,"Jul 28, 2023",,
10,Sons of Summer,"Jul 28, 2023",,
11,Rocky Aur Rani Kii Prem Kahaani,"Jul 28, 2023",,
12,For the Animals,"Jul 28, 2023",,
13,Never Say Never,"Jul 28, 2023",,
14,Walid,"Jul 28, 2023",,
15,Bro,"Jul 28, 2023",,
16,Talk to Me,"Jul 28, 2023",95,73
17,Haunted Mansion,"Jul 28, 2023",43,
18,Sympathy for the Devil,"Jul 28, 2023",69,
19,The Beasts,"Jul 28, 2023",98,
20,KOKOMO CITY,"Jul 28, 2023",96,
21,Bobi Wine: The People's President,"Jul 28, 2023",100,
22,The Unknown Country,"Jul 28, 2023",84,
23,The Mistress,"Jul 28, 2023",,
24,Susie Searches,"Jul 28, 2023",60,
25,Shrapnel,"Jul 28, 2023",,
26,Sons of Summer,"Jul 28, 2023",,
27,Rocky Aur Rani Kii Prem Kahaani,"Jul 28, 2023",,
28,For the Animals,"Jul 28, 2023",,
29,Never Say Never,"Jul 28, 2023",,
30,Walid,"Jul 28, 2023",,
31,Bro,"Jul 28, 2023",,
32,Barbie,"Jul 21, 2023",90,86
33,Oppenheimer,"Jul 21, 2023",94,92
34,Sound of Freedom,"Jul 04, 2023",70,99
35,"Mission: Impossible - Dead Reckoning, Part One","Jul 12, 2023",96,94
36,Indiana Jones and the Dial of Destiny,"Jun 30, 2023",69,88
37,Insidious: The Red Door,"Jul 07, 2023",38,69
38,Elemental,"Jun 16, 2023",73,93
39,Spider-Man: Across the Spider-Verse,"Jun 02, 2023",96,94
40,Transformers: Rise of the Beasts,"Jun 09, 2023",52,91
41,No Hard Feelings,"Jun 23, 2023",71,87
42,The Little Mermaid,"May 26, 2023",67,94
